id,name,memberType,partyName,color,voteType,reference,bio
c2733,ศุภปกรณ์ กิตยาธิคุณ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3217,กมนทรรศน์ กิตติสุนทรสกุล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3232,กฤช ศิลปชัย,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3245,นครชัย ขุนณรงค์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3250,ชุติพงศ์ พิภพภิญโญ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3259,สว่างจิตต์ เลาหะโรจนพันธ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3341,สาธิต ทวีผล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1553,กิตติภณ ปานพรหมมาศ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1576,ชิษณุพงศ์ ตั้งเมธากุล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1948,กฤษฐ์หิรัญ เลิศอุฤทธิ์ภักดี,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1177,ชิตวัน ชินอนุวัฒน์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1204,ฐากูร ยะแสง,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1233,จุฬาลักษณ์ ขันสุธรรม,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2323,สรวีย์ ศุภปณิตา,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2330,เจษฎา ดนตรีเสนาะ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2347,ชลธิชา แจ้งเร็ว,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2353,สกล สุนทรวาณิชย์กิจ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2372,เชตวัน เตือประโคน,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2387,ประสิทธิ์ ปัทมผดุงศักดิ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2021,สุรพันธ์ ไวยากรณ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2033,ปัญญารัตน์ นันทภูษิตานนท์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2040,อนุสรณ์ แก้ววิเชียร,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2051,นพดล ทิพยชล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2061,ปรีติ เจริญศิลป์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2070,คุณากร มั่นนทีรัย,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2085,เกียรติคุณ ต้นยาง,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2091,นนท์ ไพศาลลิ้มเจริญกิจ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3823,พนิดา มงคลสวัสดิ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3833,รัชนก สุขประเสริฐ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3845,พิชัย แจ้งจรรยาวงศ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3860,วุฒินันท์ บุญชู,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3869,นิตยา มีศรี,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3883,วีรภัทร คันธะ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3889,บุญเลิศ แสงพันธุ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3902,ตรัยวรรธน์ อิ่มใจ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c938,วรท ศิริรักษ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c948,วรรณิดา นพสิทธิ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c960,ชวาล พลเมืองดี,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c996,กฤษฎิ์ ชีวะธรรมานนท์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1011,สหัสวัต คุ้มคง,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1018,จรัส คุ้มไข่น้ำ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
